,green_soybeans,kidney_beans,pumpkins,cucumbers,eggplants,tomatoes,green_peppers,apples,apples,mandarin_oranges
jan_beg,,2643 ,622 ,982 ,861 ,756 ,1032 ,,496 ,700 
jan_mid,,2297 ,556 ,824 ,825 ,665 ,1011 ,,496 ,684 
jan_end,,2208 ,548 ,747 ,873 ,642 ,1238 ,,487 ,708 
jan_ave,,2383 ,575 ,851 ,853 ,688 ,1094 ,,493 ,697 
feb_beg,,2187 ,522 ,661 ,886 ,651 ,1204 ,,491 ,764 
feb_mid,,2101 ,521 ,621 ,887 ,648 ,1206 ,,459 ,768 
feb_end,,2026 ,519 ,616 ,898 ,668 ,1195 ,,458 ,765 
feb_ave,,2105 ,521 ,633 ,890 ,656 ,1202 ,,469 ,765 
mar_beg,,1960 ,511 ,563 ,828 ,687 ,1117 ,,469 ,854 
mar_mid,,2049 ,530 ,584 ,776 ,675 ,1112 ,,465 ,870 
mar_end,,1914 ,516 ,559 ,715 ,703 ,1082 ,,477 ,913 
mar_ave,,1974 ,519 ,568 ,773 ,689 ,1104 ,,470 ,879 
apr_beg,,1990 ,524 ,514 ,704 ,727 ,1096 ,,476 ,
apr_mid,,1938 ,484 ,497 ,674 ,717 ,1047 ,,480 ,
apr_end,,2107 ,483 ,430 ,644 ,684 ,948 ,,484 ,
apr_ave,,2012 ,497 ,480 ,674 ,709 ,1030 ,,480 ,
may_beg,,2252 ,455 ,430 ,650 ,609 ,900 ,,533 ,
may_mid,,2276 ,512 ,426 ,631 ,595 ,831 ,,562 ,
may_end,,2203 ,493 ,434 ,607 ,610 ,793 ,,604 ,
may_ave,,2243 ,487 ,430 ,629 ,605 ,841 ,,566 ,
jun_beg,1821 ,2162 ,504 ,443 ,621 ,592 ,806 ,,640 ,
jun_mid,1687 ,2194 ,466 ,440 ,656 ,607 ,801 ,,657 ,
jun_end,1600 ,2200 ,494 ,528 ,716 ,630 ,801 ,,647 ,
jun_ave,1703 ,2185 ,488 ,470 ,664 ,610 ,803 ,,648 ,
jul_beg,1477 ,2147 ,506 ,535 ,668 ,608 ,889 ,,674 ,
jul_mid,1387 ,2221 ,519 ,580 ,667 ,609 ,878 ,,678 ,
jul_end,1341 ,2150 ,566 ,593 ,760 ,618 ,987 ,,696 ,
jul_ave,1402 ,2173 ,530 ,570 ,698 ,612 ,918 ,,683 ,
aug_beg,1223 ,1922 ,540 ,475 ,699 ,591 ,923 ,747 ,,
aug_mid,1235 ,1904 ,537 ,516 ,666 ,607 ,883 ,666 ,,
aug_end,1248 ,2269 ,516 ,540 ,630 ,626 ,882 ,708 ,,
aug_ave,1235 ,2032 ,531 ,510 ,665 ,608 ,896 ,707 ,,
sep_beg,1241 ,2852 ,509 ,713 ,640 ,759 ,930 ,583 ,,
sep_mid,1214 ,2792 ,515 ,660 ,631 ,802 ,920 ,552 ,,670 
sep_end,1242 ,2374 ,499 ,534 ,725 ,844 ,990 ,529 ,,656 
sep_ave,1233 ,2673 ,508 ,635 ,665 ,801 ,946 ,555 ,,663 
oct_beg,,2402 ,474 ,524 ,752 ,900 ,936 ,536 ,,604 
oct_mid,,2584 ,469 ,490 ,695 ,914 ,856 ,523 ,,596 
oct_end,,2672 ,478 ,622 ,708 ,834 ,876 ,586 ,,564 
oct_ave,,2553 ,473 ,545 ,719 ,883 ,889 ,548 ,,588 
nov_beg,,2468 ,453 ,685 ,750 ,831 ,884 ,,515 ,560 
nov_mid,,2493 ,468 ,671 ,841 ,828 ,865 ,,522 ,592 
nov_end,,2558 ,445 ,645 ,809 ,870 ,865 ,,502 ,610 
nov_ave,,2506 ,455 ,667 ,800 ,843 ,871 ,,513 ,587 
dec_beg,,2434 ,456 ,702 ,836 ,828 ,883 ,,514 ,624 
dec_mid,,2489 ,484 ,726 ,879 ,743 ,852 ,,504 ,619 
dec_end,,2361 ,514 ,828 ,959 ,739 ,989 ,,514 ,627 
dec_ave,,2428 ,485 ,752 ,891 ,770 ,908 ,,511 ,623 
